,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Kenya,1889.8645,2055.997,2019.9987,2028.5233,2053.1523,2123.2488,2202.7576,2313.5586,2257.9438,2270.6206,2394.8591,2476.6016,2580.5728,2656.0786,2727.543,2807.3552,3002.3237,3222.7537,3408.6409,3744.9172
Kosovo,4884.2544,5121.499,5437.3496,5786.6763,6249.6035,6681.4155,7092.171,7557.8584,8049.6133,8014.1025,8158.2393,8341.262,8323.13,8530.977,8565.409,8739.162,9277.987,9716.709,10329.176,11195.084
Latvia,16261.421,17003.277,18552.213,20272.656,22772.469,25359.994,28266.02,31339.16,30530.457,26589.793,26161.52,28295.188,29797.041,31436.943,32480.805,33385.074,36286.574,38964.195,42331.71,45133.07
Lithuania,12036.89,12869.736,13841.753,15403.849,16601.062,18161.48,19812.506,22332.072,23153.281,19955.447,20716.52,22469.635,23641.338,25131.486,26120.389,26704.848,28633.826,31230.49,33639.844,37636.875
Luxembourg,77110.9,76235.38,77687.664,78298.52,80660.7,82553.555,85454.375,91061.61,88725.48,82512.39,85604.766,85904.445,83382.0,84916.98,86313.96,88525.62,93040.37,94175.47,95879.03,98670.44
Macedonia,10091.834,9079.483,9197.386,9310.821,9798.233,10203.746,10676.069,11326.27,11913.338,11832.8955,12218.125,12486.173,12395.353,12728.32,13147.476,13602.829,14808.794,15275.8955,16329.903,17495.611
Mexico,14930.308,14569.765,14409.781,14433.053,14851.071,15100.447,15617.019,15713.12,15667.014,14759.982,15287.693,15573.272,15971.503,15967.048,16124.307,16277.312,17197.191,17550.893,17912.973,17706.578
Moldova,2345.399,2506.4727,2708.7815,2893.3772,3108.1401,3349.6377,3521.5022,3639.9573,3930.496,3700.0752,3961.3079,4220.427,4193.8257,4583.756,4803.4644,4781.8457,5480.728,6020.983,6544.275,7021.12
Montenegro,9806.583,9862.345,10024.101,10238.389,10674.664,11113.675,12046.367,13302.052,14203.996,13376.815,13678.052,14101.492,13727.07,14206.761,14438.53,14913.696,16612.766,17959.719,19625.662,21698.979
Morocco,4338.927,4616.505,4718.4697,4954.217,5122.7383,5228.2227,5595.2114,5736.461,5968.803,6109.8823,6261.471,6502.953,6605.435,6817.583,6889.185,7096.5063,7119.918,7333.016,7678.022,7956.2466
Netherlands,42082.17,42646.62,42436.812,42310.266,43015.12,43830.504,45325.457,46878.727,47527.906,45490.227,45894.44,46475.69,45812.79,45485.01,45779.754,46491.05,48341.83,50920.21,53449.11,55651.402
New_Zealand,28220.867,29019.02,29909.902,30684.654,31383.543,32086.549,32625.27,33249.8,32537.145,32040.281,32120.277,32734.383,33446.332,33714.434,34262.727,34762.35,37038.332,39157.633,39437.938,42596.305
Norway,60550.51,61606.62,61760.375,62054.84,64260.742,65623.84,66423.81,67639.875,66903.86,64767.164,64344.97,64013.863,65745.7,65670.21,66433.44,66896.58,65349.25,71017.59,77222.46,76625.1
Pakistan,3497.2283,3492.4043,3529.365,3624.6865,3813.6423,4023.2595,4185.482,4301.6167,4283.817,4315.703,4293.489,4319.907,4377.688,4473.0757,4587.464,4775.6235,4827.2188,4988.6675,5339.549,5481.99
Poland,14698.289,14899.357,15119.547,15644.157,16457.334,17043.807,18108.666,19476.121,20236.645,20750.896,21584.59,22651.846,23046.68,23350.17,24134.082,25021.416,26316.14,27990.55,29953.992,32706.799
Portugal,26098.91,26414.357,26447.635,26071.984,26469.371,26666.287,27036.4,27655.504,27688.469,26856.42,27319.367,26855.783,26037.973,25886.346,26261.146,26784.664,28462.525,29776.88,31630.488,33698.54
Romania,10532.986,11204.256,12002.907,12749.004,13803.115,14510.743,15671.132,16979.514,18746.514,17594.32,17551.21,17823.443,18363.705,19080.21,19710.484,20522.852,22991.127,25911.328,28515.43,31887.38
Russia,14081.218,14938.007,15679.005,17163.8,18481.65,19827.01,21519.56,23368.549,24615.078,22593.35,23801.523,24798.564,26077.342,26355.785,26077.889,25052.951,25098.914,26959.166,29969.271,31998.336
Saudi_Arabia,35330.582,34532.266,33568.562,35072.984,37202.805,38789.52,39866.023,41179.086,43546.074,43264.07,44224.285,47453.027,48808.61,48941.816,49593.72,50256.086,47139.87,48884.21,50103.67,50010.824
Serbia,8155.032,8567.836,9172.259,9603.964,10482.5625,11068.858,11662.034,12389.769,13115.763,12743.954,12865.34,13141.389,13190.167,13595.241,13413.25,13578.975,14417.152,15113.252,16154.501,17696.127
Singapore,51636.22,49783.383,51408.777,54486.453,58946.855,61889.527,65297.34,68339.76,65956.46,63610.793,72017.91,74910.18,75777.38,78046.234,79550.9,80191.54,82461.38,87877.03,92833.66,94442.64
Slovakia,15291.033,15885.323,16614.469,17414.2,18333.316,19496.965,21068.248,23336.441,24644.037,23257.877,24407.12,25065.14,25374.77,25713.885,26335.223,27259.451,26978.24,27374.596,28775.682,30824.24
Slovenia,23971.48,24421.523,24887.162,25595.34,26338.13,27273.268,28725.037,30473.338,31351.963,28692.95,28892.781,29177.2,28312.713,27951.398,28724.035,29592.076,31772.578,34123.637,36447.64,39293.953
South_Korea,20932.537,21670.977,23080.39,23641.873,24716.094,25585.781,26793.182,28028.021,28615.05,28702.174,30344.918,31227.719,31762.213,32542.064,33495.715,34243.54,35744.844,36985.33,38870.223,39200.242
Sri_Lanka,5367.6157,5270.2793,5541.2686,5825.055,6109.0083,6457.1313,6924.901,7329.826,7698.2773,7905.9023,8474.906,9113.666,9949.43,10211.191,10607.817,11014.167,11773.747,12255.311,12654.171,12774.218
Sweden,36808.098,37575.91,38202.543,39021.23,40555.664,41409.055,43206.387,44343.58,43721.004,41167.32,43176.684,43993.36,43823.258,43994.453,44559.35,45899.64,47264.613,48673.223,50184.914,52883.957
Switzerland,48924.86,49150.824,48891.305,48752.47,49813.176,50974.92,52941.734,54915.703,55631.266,53717.176,54625.562,55014.1,55086.58,55429.79,55799.543,55618.01,57398.957,58183.992,60329.516,62084.254
Tunisia,7738.354,7949.388,7974.992,8273.126,8703.984,8920.683,9295.273,9825.717,10138.01,10334.809,10588.305,10215.73,10491.492,10624.919,10762.389,10741.234,10905.934,11151.833,11596.916,11844.137
Turkey,12934.127,11985.628,12777.644,13236.4375,14272.749,15275.211,16117.828,16676.172,16583.012,15579.158,16758.115,17928.23,17963.94,18371.107,18583.004,18960.264,19496.803,20573.137,20742.582,21896.215
Ukraine,4791.434,5278.36,5602.448,6178.178,6985.0283,7227.7524,7804.1074,8479.12,8699.514,7437.7837,7784.559,8219.792,8257.4,8276.526,8311.645,7518.8003,8246.035,8772.801,9343.812,9874.378
United_Kingdom,32685.43,33462.797,34156.285,35288.918,35966.957,36761.805,37458.746,38117.277,37628.633,35773.438,36057.773,36479.906,36730.473,37272.836,38048.105,38620.785,40170.965,41850.203,42930.12,44814.008
United_States,45955.652,45940.336,46327.01,47211.74,48526.375,49677.63,50465.336,50828.184,50184.25,48397.707,49166.285,49590.566,50289.484,50660.266,51482.188,52309.42,53311.977,55205.39,57850.92,59937.88
Alberta_Canada,49598.137,50020.09,50268.95,50874.938,52585.15,54334.484,56525.016,56605.984,57014.117,54264.285,54930.47,56099.254,56407.27,56996.05,57767.664,57888.723,60224.3,62615.055,64786.477,64515.176
Nordeste_Brazil,4921.3223,4983.053,5234.821,5150.914,5362.788,5617.2886,5803.4087,6064.078,6331.16,6619.821,5333.837,5561.58,5615.423,5732.0596,5687.368,5421.97,5243.21,5342.5664,5523.7188,5688.141
Norte_Brazil,10116.559,9740.837,9587.274,9352.29,9735.121,9402.954,9354.739,9626.709,10089.716,10166.952,10349.935,10625.083,10727.6875,10950.591,10865.176,10358.165,10016.676,10206.777,10552.817,10783.174
NSW_Australian,36611.188,36066.12,36829.883,37113.242,37912.324,38491.363,38636.21,39679.184,40313.965,40302.438,40643.43,41036.465,41796.82,42095.117,42509.88,42890.266,43815.74,44882.914,46543.797,48144.82
Ontario_Canada,41025.41,41137.96,41929.113,41973.76,42529.035,43292.742,43794.812,44163.86,43364.348,41032.816,42308.65,43207.293,43445.33,43898.32,44493.164,44588.355,46383.04,48223.816,49897.51,49694.863
Peninsular_Spain,30507.902,31360.219,31784.354,32344.984,32792.83,33480.695,34332.457,35008.473,34841.61,33310.953,33192.723,32747.678,31945.723,31518.227,32042.42,33114.715,35376.125,37501.25,38722.07,40978.094
QLD_Australian,32552.99,33340.17,33964.223,34937.402,36452.51,37669.8,38649.824,39976.918,40065.56,39556.477,38913.73,39292.176,40022.67,40307.812,40704.844,41069.598,41955.758,42979.293,44569.273,46084.676
SA_Australian,30608.014,31127.938,31827.393,32638.559,33283.633,33538.918,33618.875,35648.0,36668.945,36378.57,36848.77,37204.918,37892.637,38168.637,38544.8,38889.52,39728.28,40697.74,42205.168,43652.65
Sudeste_and_Centro-Oeste_Brazil,14772.511,14773.671,14889.605,14715.409,15421.933,15892.255,16415.566,17167.715,17843.912,17345.963,20642.725,21222.205,21427.033,21872.506,21703.447,20690.967,20008.857,20389.115,21080.986,21570.775
Sul_Brazil,12365.437,12635.163,13053.034,13695.934,14094.194,13748.553,13936.771,14949.958,15519.048,15574.805,12890.825,13260.93,13389.372,13670.622,13564.262,12931.365,12504.591,12742.706,13172.537,13462.964
TAS_Australian,27356.469,27725.904,28608.004,29326.52,30098.213,30671.424,31119.578,32192.857,33283.152,32907.242,32852.902,33170.64,33783.363,34025.258,34360.793,34659.367,35403.24,36264.746,37608.016,38889.4
VIC_Australian,33037.836,33326.08,34324.645,34870.16,36103.535,36446.633,36981.266,38016.59,38484.426,38319.293,38623.176,38996.504,39723.242,40006.727,40400.883,40762.152,41641.855,42656.05,44235.996,45744.855
WA_Australian,43962.523,44972.83,46895.188,48509.855,49648.99,51174.89,52788.336,54112.926,55726.19,56325.477,57004.195,57555.246,58627.496,59048.715,59630.508,60163.58,61461.668,62957.824,65289.746,67522.02
